Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr
1Yr,0.367,0.34,0.317,0.3,0.2833,0.272,0.261,0.2465,0.24,0.229
2Yr,0.2855,0.2725,0.2645,0.2548,0.2445,0.2365,0.2295,0.226,0.2215,0.2115
3Yr,0.254,0.243,0.2385,0.2318,0.227,0.2185,0.217,0.213,0.203,0.2008
4Yr,0.233,0.2255,0.2195,0.2145,0.2105,0.2063,0.2018,0.2005,0.197,0.191
5Yr,0.217,0.211,0.207,0.2002,0.1977,0.195,0.194,0.19,0.1875,0.185
6Yr,0.203,0.195,0.1945,0.1915,0.188,0.1855,0.182,0.183,0.1785,0.175
7Yr,0.191,0.185,0.183,0.1808,0.182,0.18,0.177,0.174,0.172,0.17
8Yr,0.1815,0.177,0.175,0.173,0.1705,0.169,0.1675,0.1655,0.164,0.1615
9Yr,0.172,0.169,0.1665,0.165,0.163,0.161,0.161,0.1585,0.157,0.1555
10Yr,0.165,0.162,0.164,0.163,0.161,0.1568,0.158,0.1555,0.154,0.1495
