Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,0.301,0,0.301,0.301,0.99924
EDM11   ,0.34421,0,0.34421,0.33209,0.998471
EDU11   ,0.45254,0,0.45254,0.37629,0.99733
EDZ11   ,0.60526,0,0.60526,0.43769,0.995807
EDH12   ,0.86734,0,0.86734,0.5297,0.993628
EDM12   ,1.23877,0,1.23877,0.65502,0.990527
EDU12   ,1.63959,0,1.63959,0.8022,0.986438
2 YR,0.98463,0,0.98463,0.98787,0.980484
3 YR,1.55475,0,1.55475,1.56755,0.954154
4 YR,2.03212,0,2.03212,2.06013,0.921182
5 YR,2.443,0,2.443,2.49166,0.883545
6 YR,2.77375,0,2.77375,2.84503,0.844087
7 YR,3.03575,0,3.03575,3.12952,0.804632
8 YR,3.24338,0,3.24338,3.35825,0.76611
9 YR,3.4115,0,3.4115,3.54601,0.728737
10 YR,3.548,0,3.548,3.70032,0.692981
11 YR,3.66675,0,3.66675,3.83693,0.65832
12 YR,3.7675,0,3.7675,3.95432,0.625072
15 YR,3.9842,0,3.9842,4.21129,0.535065
20 YR,4.1472,0,4.1472,4.39727,0.418881
25 YR,4.2285,0,4.2285,4.48628,0.329749
30 YR,4.2665,0,4.2665,4.51772,0.261784
40 YR,4.282,0,4.282,4.48449,0.169656
50 YR,4.2355,0,4.2355,4.3032,0.118982
